"Name","Review"
"Duong Nguyen","chị gái ngồi phục vụ ở quầy số 2 ngày 5/7, hôm đó không biết chị đến tháng hay sao mà lần lại dám thái độ với khách như vậy. Lần đầu tiên đi ngân hàng mà bị quát vào mặt là ""EM BUỒN CƯỜI THẾ, SAO EM KHÔNG NÓI SỚM ĐỂ CHỊ LÀM LUÔN, EM RÕ LÀ …"
"thu hue","Mình đã rất cẩn thận gọi điện thoại lên tổng đài để xác nhận giờ làm việc buổi chiều của ngân hàng, tranh thủ ra sớm để được hỗ trợ. Tuy nhiên, giờ làm việc buổi chiều bắt đầu từ 13h nhưng cả tầng 1 - bộ phận giao dịch đi ra ngoài ăn uống, …"
"hihi Ngân","Haha pgd 1h mở cửa nhưng không một nhân viên nào có mặt, chú bảo vệ có gọi hỏi và bảo các bạn đang về nhưng không biết là từ đâu về 1h30 vẫn không thấy 1 nhân viên giao dịch nào.  (2/8/2024)"
"nguyễn Giang","Làm mỗi cái sinh trắc học mà đợi nửa tiếng chưa đến lượt,ngân hàng thì đến to mà thủ tục thì lề mề. Có 2 ng mà tiếp 5 khách hàng cá nhân mãi k xong. Lần đầu tiên và cũng là lần duy nhất đến đây"
"Trang Huyền","Trời ơi làm lâu dã man luôn ý, khéo cả sáng làm được cho 2,3 người. Ngồi đợi hơn tiếng rưỡi đồng hồ xong cuối cùng cũng kh làm được, loạn xì ngầu lên rồi hẹn chiều qua. Nói chung là trải nghiệm rất rất tệ"
"ssThêAnhss ssLê","Lên dẹp mẹ cái chi nhánh này đi ạ :)))"
"Đào Tuyết Mai","Đang mở cửa nhưng không tiếp khách , nói là đóng"
"Rosia Lee","CÓ MỘT NHÂN VIÊN CÓ THÁI ĐỘ RẤT TỒI, COI THƯỜNG KHÁCH HÀNG.
Biết là ngân hàng thì cũng có người nọ người kia, nhưng mà gặp thể loại ""người kia"" hơi nhiều :) …"
"Pham Quang Huu","Tệ, ngồi gọi điện vào số điện thoại của chi nhánh chắc phải gần 1 tiếng mà không có ai nghe máy cả. Thiết nghĩ ngân hàng nên tuyển khoảng 20 nhân viên chỉ có nhiệm vụ là ngồi nghe máy!!!"
"Николай Сонников","Chưa gặp cái ngân hàng nào tệ như cái ở chi nhánh này, làm ăn chả đâu vào đâu, xong thì lịch trên 17:00 đóng cửa, 16:30 đuổi khách"
"",""
"",""
"Thanh Tình Đinh","phòng khám chất lượng ổn app bác sĩ nhiệt tình tốt bọng có tâm khám chất lượng giá thành hợp lý"
"Thu Hoài Bùi Thị","Mình đi sớm từ 1h là giờ mở cửa buổi chiều nhưng phải chờ đợi rất lâu. Gần 20 quầy giao dịch nhưng chỉ có duy nhất 1 quầy làm dịch vụ ngoại tệ. Tiền giao cho khách hàng thì là tiền cũ. Từ bác bảo vệ bên ngoài đã mất điểm rồi. Hôm mình vào …"
