"Name","Review"
"Thanh Phuong Tran","Phòng giao dịch ACB này có anh bảo vệ không được lịch sự và thân thiện cho lắm"
"Xu thiên","support khách hàng siêu chậm, kém chuyên nghiệp, giao dịch viên kém nhiệt tình. Các giao dịch tại ngân hàng cực kỳ chậm, chuyển khoản sec đến cả tuần mà cũng không xong. Chả biết làm ăn kiểu gì"
"tuananh le","Giao dịch rất chậm thái độ nhan viên quá kém. Đã đến và k bao giờ lam gì liên quan đến cái ngân hàng này. Giám đốc chi nhánh nếu có đọc được thì hãy quản lại nhân viên. Nếu đc thay tất cả nhân viên đi cũng được"
"Trần Quốc Thắng","Nhân viên hách dịch. Ngày xưa mình thích ACB vì 1 chị nhân viên nhiệt tình xinh đẹp. Nhưng giờ đây chi nhánh này chỉ toàn nhưng người hách dịch, ăn nói thô lỗ, coi khách hàng như kẻ ăn xin. Rất bố láo."
"Ngoc Vu","Quá tệ,  nhân viên thì nhiều xử lí công việc châm chạp trong khi có quầy giao dịch không có khách cũng không thấy phục vụ. Thực sự thì mình đang đề xuất công ty đóng tài khoản bên ngân hàng này chuyển sang ngân hàng khác để được phục vụ tốt hơn."
"Dương Phùng","Hôm qua mình và bạn mình có đến phòng giao dịch ở 216 trần duy hưng để làm thẻ và xin cấp lại mật khẩu mà thái độ phục vụ của nhân viên cực kỳ kém. 1 bạn bảo chúng mình ngồi chờ vì nhân viên bận mà mình không biết các nhân viên bận gì, có 2 …"
"Pham Xuan Trung","Hôm nay 24/02/2020 tôi đến ACB chi nhanh này để mở tài khoản (tôi đã có tk nhiều ngân hàng khác). Cảm giác rất tệ.
- Người bảo vệ (tôi muốn dùng từ ""lão""). Thái độ rất khó chịu khi chỉ chỗ đỗ xe …"
"truong thang Pham","Nhiều quầy giao dịch, nhưng quá chậm chạp. Đã lười di chuyển tiện đường  vào giao dịch mấy lần nhưng phải chờ đợi quá lâu rất mất thời gian. Cạch mặt phòng giao dịch này ra không nên vào đây các bạn nhé. Phòng giao dịch rõ to rõ hoành tráng, Chả nhẽ cho một sao."
"Hoàng Bắc (Mr. Hoàng Bắc)","Ngân hàng gì mà thái độ nhân viên lồi lõm. quy trình ko biết dc cấp iso chưa để khách hàng chờ dài cổ trong khi nhiều nhân viên chơi dài."
"Thanh Le","ACB là ngân hàng tôi yêu thích nhất! Luôn là số 1 trong số các ngân hàng cổ phần ở Việt Nam. Giao dịch nhanh và chuyên nghiệp."
"",""
"",""
"Flash The","nhân viên rất nhiệt tình, có chuyên môn hỏi gì đều biết để trả lời giải đáp cho khách hàng."
"thang bui","Nhân viên vui vẻ, hoà đồng, giao dịch nhanh."
"Hồ Sơn","Vị trí đẹp, Chi nhánh ngân hàng rất chuyên nghiệp! Làm thẻ visa debit rất nhanh"
"Thep Gang","Quyến Để bây chừ tâm dạ cứ xốn xang ...
luyến bên Sen là những ngày lặng lẽ ..."
"Cư Chung","Mặt bằng đẹp, vị trí đẹp, nhân viên cũng nhiều mà sao xử lý công việc chậm Chạp quá."
"Thủy Hà","Giao dịch viên lễ phép, nhiệt tình 👌 …"
"hong trinh","Ngân hàng mới  nhưng được khá nhiều người tin  chọn sử dụng"
"Hantaki","Chờ đợi 45' xong để người số sau được vào làm việc trước"
"Pham Julie","Phục vụ tốt"
"Thuần Trần","Nhân viên thái độ với khách hàng"
"Chí Vũ Đình","Nhanh gọn nhẹ. Nhân viên nhiệt tình"
"Nam Mai Hoang","Thái độ phục vụ không tốt"
"Артём Артём","Impossible to receive money via Western Union"
"Nam NT","Nhân viên xinh gái, nhiệt tình"
"Giang Trần","Phục vụ tư vấn nhiệt tình hết mức"
"thuan vu","Dịch vụ ACB rất tốt, tôi rất yêu thích !"
"Thăng Long Bigc","trung tâm giao dịch acb"
"Hiếu Phan Văn","Tạm được"
"Trần Quang","Thân thiện."
"Bao Nguyen","216, Quan Thanh Xuan, Cầu Giấy, Hà Nội, Vietnam"
"Long Vh","Ok"
"Tăng Tiến Linh","tuyệt vời !"
"THANG do tien quyet thang",""
"Ngoc Pham",""
"nguyen van dat",""
"Loan Nguyễn",""
"lê hoàng thanh",""
"Nhung Rosa",""
"Thanh Tung Nguyễn",""
"Silk Thu",""
"Dương Lê Quân",""
"Ngân hàng Vay vốn",""
"Nguyễn Chí Dũng",""
"Hung Lam",""
"Thuan Vungoc",""
"Nyanpasu",""
