"Name","Review"
"Oanh Hoàng","Một trải nghiệm khá tồi tệ, mình đi nộp thuế nhưng bạn nhân viên như không biết nghiệp vụ, ko làm được, trong khi đó mình sang BIDV thì nhân viên ở đó tra máy và làm được ngay"
"QUỲNH PHẠM","Một trải nghiệm tồi tệ ở chi nhánh này.
Đã đk nộp thuế rồi, phát cho ng ta cái phiếu điền tay, lấy số tt chờ thì vào quầy phán cho câu là không nhận giấy viết tay.
Thế cái quầy phát phiếu làm cảnh ah"
"Huy Lê","em chỉ đến hỏi 1 số thông tin thôi chị nhân viên khá chuyên nghiệp nhưng bảo vệ có vẻ ko care lắm :("
"Chinch Anim","Ngân hàng 1 đống nhân viên nhưng không làm việc với khách hàng, ngồi chơi.
Do cty yêu cầu nhận lương qua VCB thôi, chứ không bao giờ dùng dịch vụ này"
"Hải Nguyễn","Nằm trên đường Mễ Trì từ Phạm Hùng rẽ vào khoảng 70m. Có cả nơi gửi xe cho xe máy và oto. Khá chuyên nghiệp tuy nhiên phong cách quá ko linh hoạt. Gửi tiền vào Tk mà đòi hết giấy tờ nọ kia, nói chung ko hài lòng"
"Nhung Hồng","Thái độ nhân viên điều phối không tốt, hách dịch với khách hàng. Đề nghị ngân hàng chỉnh đốn lại những nhân viên không tốt."
"yến dương","Mình đi nộp tiền ở NH này, mình vào trước thì phải ngồi xếp hàng chờ. 2,3 người vào sau thì được vào quầy nộp thẳng. Rất mất thời gian."
"Mr Fury","Chờ hơi lâu mặc dù thấy lượng khách ko hề đông, nhân viên lúc xử lý cho mình thì ok nhưng có vẻ quy trình hơi chậm, vào cảm giác mọi người cũng làm rất từ từ, dù sao ở ngân hàng mà tác phong vậy cũng ko hài lòng lắm!"
"Anh Mai","Khoá vì nhập sai 5l ra bảo khoá vĩnh viễn tài khoản thì mới tạo xong ra chi nhánh khác bảo bên này k đăng chữ ký lên khách nói thì thái độ này kia .nhân viên công ăn lương cứ như mẹ thiên hạ ."
"フエンヴ","Đúng hôm may mắn giao dịch rất nhanh, bảo vệ mở cửa, lễ tân đón tiếp nhiệt tình"
"",""
"",""
"Minhanh Đỗ","Mình mở TK ở chi nhánh tòa nhà Sông Đà. Nvien hẹn tới hẹn lui muộn 1 tuần mới trả đc thẻ xong bảo lên app tự kích hoạt. Mình kích hoạt trên app cả chục lần ko đc, gọi tổng đài thì báo đợi thêm. Đợi thêm ko đc ra CN thì báo thẻ bị khóa do 3 …"
"Chi Sumi","đến rất nhiều lần rồi, những lần trước nhân viên rất lịch sự. Chắc vì mang nhiều tiền và đến đăng ký thẻ. Cách đây k lâu đến hỏi 1 vài vấn đề nhân viên đứng quầy rất thái độ, khinh khỉnh với khách hàng. Không hiểu tại sao lại vậy ? Mình đi …"
"Oanh Kim","Nếu có 0 sao tôi sẽ đánh giá 0 sao ngay. Chờ hơn 1 tiếng đồng hồ chưa tới lượt. Số thì không nhảy, nhân viên gọi tên khách hàng vào làm việc. Tôi tới trước nhưng toàn phục vụ những người đến sau trước. Chắc là do mấy người đến sau toàn giao …"
"Mộng Linh Trần","Đợi 1h30p để in sao kê. Quá mất time của khách hàng khi đến giao dịch tại đây! :("
"Trần Đức Huy","Mình làm cái thẻ tại chị nhánh mà 3 tháng rồi, tháng nào cũng lên hỏi mà 3nhân viên/ 3 lần đều báo thẻ mình chưa phát hành được, hỏi lí do thì kB, chuyển mình qua Duy Tân làm, mình lại phải mất công đi lần nữa, việc đơn giản vậy còn k xong, phục vụ khách hàng vậy mình k phục"
"Lechi Dorje Dang Bach Khoa (Mã Điêu)","Làm việc không khoa học, có hệ thống lấy số thứ tự nhưng bộ phận quỹ thu tiền mặt thì lại không theo thứ tự"
"Tuyết Nguyễn","Phân biệt giữ việc mở tài khoản ở chi nhánh nào, giao dịch hạn mức bao nhiêu để lấy số. Làm việc chậm, ngồi chờ 1 tiếng đồng hồ mà chưa đến lượt"
"23HQ05 Hoàng Minh Tường","Trải nghiêmj quá tệ"
"Nguyễn Hiền","Nhân viên làm việc lề mề, chậm chạp. Không thân thiện. Thái độ hạch sách đủ thứ. Mặc dù ở chi nhánh khác tôi vẫn được thực hiện các giao dịch mà tôi cần. Đến 1 lần và né. Thái độ nhân viên khiến người giao dịch rất ức chế. Nhất là hai bà quầy số 2 và quầy số 6!"
