"Name","Review"
"Ngoc","Lúc mình đến vắng khách nên được giải quyết ngay, chị nv bên phải ngoài cùng rất nhiệt tình tư vấn làm nhanh gọn kb giờ chị còn làm ko"
"Xuân Tới Đặng","Chính sách hút máu khách hàng thể hiện ở mọi ngóc ngách như: Hotline CSKH gọi 20 cuộc đều bận, cước gọi vẫn mất, nạp thẻ 20k trừ sạch còn 0 đồng; đóng thẻ cũng tính phí, ra hạn thẻ cũng tính phí 100k (các ngân hàng khác miễn phí nha các bạn)."
"Min Min","Nhân viên nhiệt tình, phục vụ tốt!!"
"Phạm Huấn","Chi nhánh diện tích nhỏ quá khách thì đông!"
"Thu Trang Hoàng Thị","khi làm giao dịch thái độ, nghiệp vụ nhân viên giao dịch vô cùng tệ. Mình đang giao dịch vì có khách vip tới, nhân viên không xử lí cho mình nữa và không nói 1 câu gì ý bảo mình chờ để xử lí cho khách khác. Khi giao dịch mình đã đưa tiền …"
"Cr Hà","Không thể chấp nhận được. Có 2 quầy hỗ trợ , 1 quầy tiếp khách, 1 quầy tiếp xong đến lượt mình nhưng k muốn hỗ trợ. Ngồi đợi 30p thái độ lồi lõm."
"Le Tien Thanh","Ngồi chờ 30p không tới lượt, giao dịch làm thủ tục cực lâu, chán . Thua xa Agribank :))))"
"Mạnh Hà","gọi tổng đài cả sáng thì tất cả đều bận, không nghe nổi 1 cuộc. Đã gọi nhiều số tổng đài hay phòng giao dịch lúc mở thẻ đều như vậy."
"Thang Truong","Yes rồi mà vẫn chưa có giá bán cao hơn nhiều so với các bạn ý cứ tưởng là nó sẽ là một trong những người có thể là do người ta không có gì là lạ đâu mà phải đi làm thuê cho các bạn ý cứ tưởng là nó sẽ là một trong số ít người biết ta là ai …"
"Khoa Phạm Đăng","mịa kiếp,ngồi đợi dài cổ cả hơn tiếng đồng hồ , có mỗi 1 quầy giao dịch, chất lượng quá kém.mất thời gian..."
"",""
"",""
"Duy Pham Duc","Gia hạn từ 14h mà đến 16h vẫn chưa được gia hạn, chờ nhân viên tiếp bạn bè dài cổ."
"Iron Maiden jeanne","Văn phòng hơi nhỏ khó nhận ra, chị nhân viên quầy số 2 rất xinh 😊, giao dịch nhanh, tiện lợi …"
"Trương Đình Nam","Tôi thích ACB về không gian phục vụ khách hàng cũng như thái độ phục vụ rất ok."
"linh phạm","Phục vụ lâu, nhân viên đón cửa thái độ k tốt"
"Nguyễn Việt Tuấn","Nhân viên nhiệt tình hỗ trợ khách, thủ tục nhanh gọn."
"Nguyen Phuong","Phòng chật.. đợi lâu vì đông nguời.. lấy thẻ nhanh.. nhân viên ổn"
"Ngọc Đức","ACB ở đây nhân viên xinh đẹp nhiệt tình, có kẹo ăn, có nước uống, ai cũng tươi cười vui vẻ trừ anh bảo vệ :-)"
"Luxe Home - Thiết Kế Nhà Đẹp","thái độ mọi người rất thân thiện, phục vụ nhiệt tình."
"Vi Manh","ngân hang nhanh nhẹn và làm việc rất chuẩn"
"Mã Hành Độc","phục vụ tốt cơ sở mới rất ok hi vọng phát huy"
"Động Hoàng","Khách hàng lúc nào cũng đông nhưng hơi hẹp tý"
"duc kien pham","Thích chị tóc ngắn xinh gái làm thẻ :D"
"Hoang Minh","Làm việc đúng giờ, chuyên nghiệp"
"The Bui","Dịch vụ rất tốt"
"Tuan Thai","mọi thứ bình thường,"
"Buiducquyen Bui","Ngân hàng tốt"
"Chiến Hữu","Dịch vụ tốt"
"Thành Lê Văn","Tốt"
"hung dam","Ok"
"P.V. Quân","Chuyên nghiệp."
"Michael Lam","Good"
"Dung Viet",""
"Nguyễn Văn Khải",""
"Trung Bùi",""
"Miên Hà Thị",""
"Huy Tran",""
"Trung Phạm",""
"Laptop Group",""
"Ninh Đỗ",""
"steven Mai",""
"Tan Loc Vuong",""
"WU MC",""
"Thành Nguyễn Tự",""
"Lực Thành",""
"Chiếc My Béo",""
"Những Điều Bí Ẩn",""
