"Name","Review"
"Nhung Nguyễn","Bác bảo vệ nhiệt tình, mình đi qua bảo vệ toà nhà thì mình chỉ có thẻ kiểm soát ra vào toà nhà mà chưa có vé vào ngân hàng. Mình làm việc xong bác bảo vệ ngân hàng thấy mình k có cx hỏi và đưa cho mình. Thái độ bác cx niềm nở, vui vẻ, nói …"
"Duc Anh","Dịch vụ nhiệt tình, các nhân viên nữ xinh xắn, dễ thương"
"Quyen Tran","ngân hàng rất chuyên nghiệp, nhân viên thân thiện, hỗ trợ nhiệt tình.
tôi ra giao dịch sang nước ngoài mà được xử lý rất nhanh và chuẩn chỉnh"
"Hà Trịnh","Không gian thoáng đẹp, các bạn nhân viên thì thân thiện 🤩 làm việc lần đầu với bạn cán bộ tên Mạnh cảm thấy rất nice 👍 …"
"Thúy Nguyễn","Vào giao dịch chuyển tiền đi nước ngoài thấy ngân hàng làm nhanh lắm mà 1h sau đã thấy nhận được tiền rồi. Vote 5sao cho BIDV."
"Thu Huyen","Giao dịch viên hết sức thân thiện, bảo vệ nhiệt tình, có chỗ gửi xe riêng cho khách giao dịch ngân hàng"
"Khôi Nguyễn Trọng","Ngân hàng uy tín. Không gian đẹp, chuyên nghiệp. Mấy em nhân viên dễ thương, chu đáo"
"Oanh Đỗ","Bidv chỗ này to thật, chi nhánh đẹp, không gian giao dịch rộng rãi. Chấm 10 điểm"
"Minh Thuý Nguyễn Thị","PGD ở đây giao dịch nhanh dã man, mà toàn các chị xinh xắn. Yêuuuuuu"
"Diệu Linh Nguyễn","Chi nhánh to đẹp, giao dịch nhanh chuẩn, các bạn nhân viên rất nhiệt tình"
"",""
"",""
"Hju Man","Mình đi ngày 20/09 buổi sáng lúc khoảng 10h-11h gặp đc chú bảo vệ trong khu giao dịch thân thiện lắm ạ, chú luôn cười khi nói chuyện với mình còn chỉ bảo rất nhiệt tình. Một trải nghiệm rất tuyệt vời tại BIDV, chúc chú khỏe mạnhhh ạ!"
"vinh quang","Địa điểm rất thuận tiện di chuyển, không gian hiện đại, sạch đẹp..."
"David Học","Tiện gửi xe nằm ngay ngã tư Ngụy Như Kon Tum và vũ trọng phụng... Mở tk bidv cùng bydzynevietnam bydzyne #onggiadautu team onggiadautu mở tk tại đây dễ dàng"
"Thuy Tran Ngoc","Không gian giao dịch đẹp, nhân viên chuyên nghiệp tận tình 🤩 …"
"Như nguyễn","Nhân viên nhiệt tình, không gian rộng rãi sạch đẹp, 5 sao"
"Nguyễn Việt Tùng","Mê cái cách bạn Như làm ở phòng khách hàng doanh nghiệp 3 cầm cốc bia"
"Bùi Hữu Nhật","Bảo vệ như cc ! Các bạn có thể đọc đánh giá 1 sao khác về bảo vệ. Làm mất thời gian người khác quá ! Bọn nó vô công rồi nghề nghĩ ai cũng thừa thời gian như bọn nó à ?"
"truongthi hue167","Giao dịch viên thân thiện, cán bộ tư vấn nhiệt tình, mến khách ❤️❤️❤️"
"thinhbeatt","Dịch vụ đa dạng phong phú, nhân viên tư vấn nhiệt tình!"
