"Name","Review"
"蘆氏麗","Hôm nay quầy số 15 có chị nhân viên vô duyên quá,khinh người thế mà vào đó ngồi làm việc , chịu ……. Không hiểu sao lại vào  đó được?????1 sao em cũng k muốn cho chị luôn chị ạ"
"Dương Bùi Văn (Yangge)","Địa chỉ thì đúng mà vị trí trên map sai. Chỉ ra giữa sông tô lịch"
"Đoàn Khương Duy","Nhân viên tư vấn phục vụ rất nhiệt tình và thân thiện, mỗi tội techcombank đông quá chờ hơi lâu. Hy cọng sẽ có nhiều chi nhánh hơn nữa để tiện giao dịch 😊 …"
"Thanh Dinh","Nhân viên rất thân thiện,nhưng thủ tục quá rườm rà và mất thời gian.
Đổi euro sang tiền việt mà thời gian lên đến 40 phút, rồi chuyền bàn này sang bàn khác, rồi ký gì mà 5,6 lần. …"
"Dự nguyễn","Ngân hàng lúc nào cũng đông người, địa điểm rộng, nhiều quầy giao dịch
Tech ở đây giao dịch cũng rất nhanh, liên tục nhận người good"
"Thành Trung Nguyễn","Nhân viên tư vấn phục vụ rất nhiệt tình và thân thiện, mỗi tội techcombank đông quá chờ hơi lâu. Hy cọng sẽ có nhiều chi nhánh hơn nữa để tiện giao dịch 😊 …"
"Vương Nguyễn","Tôi đi oto lexus 570 sport cầm 500 triệu đi gửi ngân hàng, nhưng map lại ghim map sai vào hệ thống độ xe Fixauto nhà cái uy tín hàng đầu về nâng cấp xe hơi, đành gửi tạm ngân hàng Fixauto.vn :v"
"Tuấn Anh Nguyễn","Điểm này ko đúng.điểm này dẫn đến fix auto linh đàm trung tâm độ xe hàng đầu việt nam."
"Martin Nguyen","Tương đối hài lòng. Mỗi tội đông thỉnh thoảng chờ số mà nản"
"Hoà kt 23 Lê Xuân","đã vội thì chớ. ngân hàng đ gì ghim phòng giao dịch là gara oto ??? làm vs chả an"
"",""
"",""
"Nguyen Lam","Gim sai địa chỉ dẫn tới cửa hàng độ xe fixauto mong techcombank gim lại đúng"
"Linh Linh","Làm việc không chuyên nghiệp. Nhân viên tuỳ ý có thể thay đổi vị trí khách hàng.  Ngồi xếp hàng đợi 1 tiếng cuối cùng vẫn cho khách không thứ tự nhảy vào."
"Xuan Hoang","Có nhiều quầy, trang phục của giao dịch viên lịch sự,  thiết kế quầy rất thân thiện. Có nhân viên xếp thứ tự và cả máy đọc thứ tự. Nhân viên xếp chỗ cũng rất linh động. Thái độ của các giao dịch viên rất tốt."
"Hoang Thach Tran","Chỉ có 2 cây ATM tuy nhiên khi khách hàng muốn nộp tiền thì lại yêu cầu khách ra ATM để nộp và phải xếp hàng chờ rất lâu. Nhân viên bảo vệ trông xe thì cứ như giám đốc ngân hàng việc của mình không làm lại đi ý kiến với khách hàng. Khi …"
"Hanoi Hangkyguionline","Ngân hàng làm ăn quá tệ và thiếu tôn trọng khách hàng. Mang chứng minh nhân dân ra lập mà bên này lấy lý do CMND mờ quá( Mới làm cuối năm 2018 còn mới nguyên). Bảo phải có căn cước công dân mới làm. Mình hỏi hộ chiếu được không vẫn lắc đầu …"
"Tixiu Bill","Mệt mỏi. Doanh nghiệp không nên giao dịch ở đây. Stupid. Máy móc"
"Son Duong Nguyen","Điểm này không đúng nhé"
"Viet Anh Le","Dịch vụ tốt, thời gian làm việc nhanh"
"tuan dinh","Chi nhánh này khá đông nên mọi người cân nhắc thời gian khi tới"
"Dau Tu Home","Lý do không cho mở thẻ không hiểu . Ok sanh bank khác thôi. K nhiệt tình với KH"
"tran tien","Rộng ,quá nhiều khách hàng,thái độ nhân viên từ bảo vệ đến nhân viên quầy tuyệt vời"
"Sức Khỏe HLV","Giao dịch nhanh chóng, dịch vụ tốt,  thủ tục gọn gàng, nhân viên nhiệt tinh"
"Sơn Vlog","Ngân hàng không mở tài khoản cho người dùng CMND, bắt buộc dùng thẻ căn cước.. Mất dậy"
"Nguyễn Hà","Rút tiền cây bank thường xuyên tình trạng tiền rách tiền mất góc"
"trang nguyễn","Quá chán, gọi điện thoại đến hơn chục cuộc, ko có 1 cuộc gọi nào được bắt máy"
"Duy Anh Web . Com . Vn Thiết Kế Web 2,8 Triệu","Phục vụ tốt bảo vệ dắt xe cho khách rất chuyên nghiệp"
"Allan James","Thích nhất dịch vụ của tech, nhân viên hỗ trợ chu đáo & rata chuyên nghiệp :like:"
"Hùng Lê Mạnh","Thời gian chờ đợi ở đây quá lâu. Chậm chạp."
"Văn Giang Nguyễn","Uy tín chất lương, nhân viên nhiệt tình, chu đáo"
"Lê Khắc Tản (Lê Khắc Tản T.G.M)","Phục vụ tương đối tốt"
"Duc Tung Vu","Cây ATM hơi nóng, điều hoà ko hoạt động dễ treo máy"
"Hoàng Quyền","Được, nhân viên ở đây rất nhiệt tình"
"Xuân Trường","Hôm nào cũng đông và đợi khá lâu"
"Tuân Nguyễn","phục vụ nhanh nhiệt tình!"
"Chung Đỗ Đức","Văn phong nơi tôi làm việc"
"Hiep Do","Hài lòng chất lượng dịch vụ."
"Tạ Ngọc Thủ","Nhân viên kém trình độ"
"Quoc Thanh","Phục vụ tốt, chuyên nghiệp"
"Dụng Phẩm Thư Pháp","Ngân hàng tôi lựa chọn"
"Heo Béo","Hài lòng"
"Đại An Trần","Ngân Hàng TMCP Kỹ Thương Việt Nam, CC2A, Khu Đô Thị Mới Bắc Linh Đàm, Ph"
"tiến thành","Tốt"
"Vietnam Xprinter","Teckcombank Linh Đàm"
"Tuong Bui Van","có"
"Luyện Ngô Vi",""
"bao hiem Tam",""
"Son Sonlts",""
"Quy Phu",""
"nghia dam",""
"Bui Khanh Dung",""
